manufacturer,model,year,engine_dropdown,engine_name,stock_bhp,stage1_bhp,bhp_gain,stock_torque,stage1_torque,torque_gain,options_available,ecus,tools,stage_name,stage_id,parent_vehicle_id
Acura,Integra,2022 -> ...,1.5T VTEC - 182hp,1.5T VTEC,182,220,38,240,300,60,,['Bosch ME17.9'],"['Alientech K-TAG', 'Alientech KESS3', 'Alientech KESSv2', 'bFlash bFlash']",Stage 1,25541,17373
Acura,Integra,2022 -> ...,1.5T VTEC - 200hp,1.5T VTEC,200,220,20,260,300,40,,,"['Alientech K-TAG', 'Bitbox Bitbox']",Stage 1,25542,17374
Acura,RDX,2019 -> 2021,2.0T - 272hp,2.0T,272,300,28,380,465,85,,,,Stage 1,25543,17375
Alfa Romeo,145,1999 -> 2001,2.0 - 155hp,2.0,155,166,11,253,262,9,,,,Stage 1,25608,17482
Alfa Romeo,147,2001 -> 2005,1.6 T-Spark - 105hp,1.6 T-Spark,105,115,10,140,155,15,,['Bosch ME7.3.1'],"['Alientech KESSv2', 'ByteShooter Toolbox']",Stage 1,25437,17201
Alfa Romeo,147,2001 -> 2005,1.6 T-Spark - 120hp,1.6 T-Spark,120,130,10,146,161,15,,['Bosch ME7.3.1'],,Stage 1,25438,17202
Alfa Romeo,147,2001 -> 2005,2.0 T-Spark - 150hp,2.0 T-Spark,150,165,15,172,192,20,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch ME7.3.1'],"['Alientech KESSv2', 'Autotuner']",Stage 1,5502,1
Alfa Romeo,147,2001 -> 2005,3.2 V6 GTA - 250hp,3.2 V6 GTA,250,270,20,300,320,20,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch ME7.3.1'],"['Alientech KESSv2', 'CMDFlash', 'Dimsport New Genius']",Stage 1,5503,2
Alfa Romeo,147,2001 -> 2005,1.9Jtd - 100hp,1.9Jtd,100,135,35,200,265,65,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable']",['Bosch EDC15C7'],,Stage 1,5504,3
Alfa Romeo,147,2001 -> 2005,1.9Jtd - 115hp,1.9Jtd,115,145,30,275,330,55,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable']",['Bosch EDC15C7'],"['Alientech KESSv2', 'CMDFlash']",Stage 1,5505,4
Alfa Romeo,147,2001 -> 2005,1.9Jtd - 136hp,1.9Jtd,136,175,39,305,380,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable']",['Bosch EDC16C8'],,Stage 1,5506,5
Alfa Romeo,147,2001 -> 2005,1.9Jtd - 140hp,1.9Jtd,140,175,35,305,380,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable']",['Bosch EDC16C8'],"['Alientech KESSv2', 'MagicMotorsport Flex']",Stage 1,5507,6
Alfa Romeo,147,2005 -> ...,1.6 T-Spark - 105hp,1.6 T-Spark,105,115,10,140,155,15,"['Decat', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable']",['Bosch ME7.3.1'],,Stage 1,24990,16641
Alfa Romeo,147,2005 -> ...,1.6 T-Spark - 120hp,1.6 T-Spark,120,130,10,146,161,15,"['Decat', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable']",['Bosch ME7.3.1'],,Stage 1,24991,16642
Alfa Romeo,147,2005 -> ...,2.0 TS - 150hp,2.0 TS,150,165,15,181,200,19,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch ME7.3.1'],,Stage 1,5508,7
Alfa Romeo,147,2005 -> ...,3.2 V6 GTA - 250hp,3.2 V6 GTA,250,275,25,300,325,25,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch ME7.3.1'],,Stage 1,5509,8
Alfa Romeo,147,2005 -> ...,1.9 JTD - 100hp,1.9 JTD,100,135,35,200,265,65,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC15C7'],,Stage 1,5510,9
Alfa Romeo,147,2005 -> ...,1.9 JTD - 115hp,1.9 JTD,115,150,35,275,350,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']","['Bosch EDC15C7', 'Bosch EDC16C39']","['Alientech KESSv2', 'CMDFlash']",Stage 1,5511,10
Alfa Romeo,147,2005 -> ...,1.9 JTD - 120hp,1.9 JTD,120,155,35,285,360,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable']",['Bosch EDC16C39'],"['Alientech KESSv2', 'CMDFlash', 'MagicMotorsport Flex']",Stage 1,5512,11
Alfa Romeo,147,2005 -> ...,1.9 JTD - 126hp,1.9 JTD,126,175,49,330,380,50,,['Bosch EDC16C39'],,Stage 1,5513,12
Alfa Romeo,147,2005 -> ...,1.9 JTD - 136hp,1.9 JTD,136,175,39,305,380,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C8'],,Stage 1,5514,13
Alfa Romeo,147,2005 -> ...,1.9 JTD - 140hp,1.9 JTD,140,175,35,305,380,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C8'],,Stage 1,5515,14
Alfa Romeo,147,2005 -> ...,1.9 JTD - 150hp,1.9 JTD,150,185,35,305,380,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']","['Bosch EDC16C39', 'Bosch EDC16C8']","['Alientech KESSv2', 'Autotuner', 'CMDFlash', 'MagicMotorsport Flex', 'bFlash']",Stage 1,5516,15
Alfa Romeo,147,2005 -> ...,1.9 JTD - 170hp,1.9 JTD,170,190,20,330,390,60,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C39'],"['Alientech KESSv2', 'MagicMotorsport Flex']",Stage 1,5517,16
Alfa Romeo,159,1997 -> 2003,1.9Jtd - 105hp,1.9Jtd,105,135,30,255,310,55,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC15C5'],['Alientech KESSv2'],Stage 1,5520,19
Alfa Romeo,159,1997 -> 2003,1.9Jtd - 110hp,1.9Jtd,110,140,30,275,330,55,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC15C7'],,Stage 1,5521,20
Alfa Romeo,159,1997 -> 2003,1.9Jtd - 115hp,1.9Jtd,115,145,30,275,325,50,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC15C7'],"['Alientech KESSv2', 'CMDFlash']",Stage 1,5522,21
Alfa Romeo,159,1997 -> 2003,1.9Jtd - 136hp,1.9Jtd,136,175,39,305,380,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C8'],,Stage 1,5523,22
Alfa Romeo,159,1997 -> 2003,1.9Jtd - 140hp,1.9Jtd,140,175,35,305,380,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C8'],,Stage 1,5524,23
Alfa Romeo,159,1997 -> 2003,2.4Jtd - 136hp,2.4Jtd,136,170,34,304,380,76,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']","['Bosch EDC15C5', 'Bosch EDC15C7']",['CMDFlash'],Stage 1,5525,24
Alfa Romeo,159,1997 -> 2003,2.4Jtd - 140hp,2.4Jtd,140,170,30,304,380,76,,,,Stage 1,5526,25
Alfa Romeo,159,1997 -> 2003,2.4Jtd - 150hp,2.4Jtd,150,185,35,305,385,80,,['Bosch EDC15C7'],,Stage 1,5527,26
Alfa Romeo,159,1997 -> 2003,2.5 V6 - 190hp,2.5 V6,190,200,10,222,242,20,"['Specific DTC Disable', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch ME3.1'],['Dimsport New Genius'],Stage 1,5518,17
Alfa Romeo,159,1997 -> 2003,3.2 V6 GTA - 250hp,3.2 V6 GTA,250,270,20,300,320,20,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch ME7.3.1'],['Alientech KESSv2'],Stage 1,5519,18
Alfa Romeo,159,2002 -> 2005,1.9 jtd - 126hp,1.9 jtd,126,175,49,330,380,50,,,,Stage 1,5529,28
Alfa Romeo,159,2002 -> 2005,1.9Jtd - 115hp,1.9Jtd,115,145,30,275,330,55,,,,Stage 1,5528,27
Alfa Romeo,159,2002 -> 2005,1.9Jtd - 136hp,1.9Jtd,136,175,39,305,380,75,,,,Stage 1,5530,29
Alfa Romeo,159,2002 -> 2005,1.9Jtd - 140hp,1.9Jtd,140,175,35,305,380,75,,,,Stage 1,5531,30
Alfa Romeo,159,2002 -> 2005,1.9Jtd - 150hp,1.9Jtd,150,185,35,305,380,75,,,,Stage 1,5532,31
Alfa Romeo,159,2002 -> 2005,2.4Jtd - 163hp,2.4Jtd,163,220,57,385,440,55,,,,Stage 1,5533,32
Alfa Romeo,159,2002 -> 2005,2.4Jtd - 175hp,2.4Jtd,175,220,45,385,440,55,,,,Stage 1,5534,33
Alfa Romeo,166,1999 -> 2002,2.4 Jtd - 136hp,2.4 Jtd,136,170,34,304,380,76,,['Bosch EDC15C5'],['CMDFlash'],Stage 1,5547,46
Alfa Romeo,166,1999 -> 2002,2.4 Jtd - 140hp,2.4 Jtd,140,170,30,304,380,76,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC15C5'],,Stage 1,5548,47
Alfa Romeo,166,1999 -> 2002,2.4 Jtd - 150hp,2.4 Jtd,150,185,35,304,385,81,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC15C7'],,Stage 1,5549,48
Alfa Romeo,166,2003 -> 2010,2.4 Jtd - 150hp,2.4 Jtd,150,185,35,305,385,80,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC15C7'],,Stage 1,5550,49
Alfa Romeo,166,2003 -> 2010,2.4 Jtd - 163hp,2.4 Jtd,163,220,57,385,440,55,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']","['Bosch EDC16C8', 'Bosch EDC16C39']",,Stage 1,5551,50
Alfa Romeo,166,2003 -> 2010,2.4 Jtd - 175hp,2.4 Jtd,175,220,45,385,440,55,,['Bosch EDC16C8'],"['Alientech KESSv2', 'CMDFlash']",Stage 1,5552,51
Alfa Romeo,4C,2013 -> ...,1750 TBi - 240hp,1750 TBi,240,255,15,340,400,60,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch MED17.3.3'],"['Autotuner', 'CMDFlash', 'MagicMotorsport Flex', 'Dimsport New Trasdata']",Stage 1,5553,52
Alfa Romeo,Brera,2006 -> 2008,2.2 JTS - 185hp,2.2 JTS,185,202,17,230,258,28,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch MED7.6.1'],,Stage 1,20588,12217
Alfa Romeo,Brera,2006 -> 2008,3.2 JTS V6 - 260hp,3.2 JTS V6,260,270,10,322,340,18,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch MED7.6.2'],['CMDFlash'],Stage 1,20589,12218
Alfa Romeo,Brera,2006 -> 2008,2.4 Jtdm 20V - 200hp,2.4 Jtdm 20V,200,235,35,400,480,80,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C39'],"['Alientech KESSv2', 'CMDFlash', 'MagicMotorsport Flex']",Stage 1,5554,53
Alfa Romeo,Brera,2008 -> 2011,1750 TBi - 200hp,1750 TBi,200,255,55,320,400,80,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch MED17.3.1'],"['Alientech KESSv2', 'CMDFlash']",Stage 1,5555,54
Alfa Romeo,Brera,2008 -> 2011,2.2 JTS - 185hp,2.2 JTS,185,202,17,230,258,28,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch MED7.6.1'],,Stage 1,20590,12219
Alfa Romeo,Brera,2008 -> 2011,3.2 V6 - 260hp,3.2 V6,260,270,10,322,340,18,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch MED7.6.2'],,Stage 1,5556,55
Alfa Romeo,Brera,2008 -> 2011,2.0 Jtdm - 163hp,2.0 Jtdm,163,195,32,360,425,65,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C39'],,Stage 1,5557,56
Alfa Romeo,Brera,2008 -> 2011,2.0 Jtdm - 170hp,2.0 Jtdm,170,195,25,360,425,65,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C39'],,Stage 1,5558,57
Alfa Romeo,Brera,2008 -> 2011,2.4 Jtdm 20v - 200hp,2.4 Jtdm 20v,200,240,40,400,480,80,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C39'],['CMDFlash'],Stage 1,5559,58
Alfa Romeo,Brera,2008 -> 2011,2.4 Jtdm 20v - 210hp,2.4 Jtdm 20v,210,235,25,400,480,80,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C39'],"['Alientech KESSv2', 'CMDFlash']",Stage 1,5560,59
Alfa Romeo,CrossWagon,All Years,1.9 Jtd - 150hp,1.9 Jtd,150,185,35,305,380,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C8'],,Stage 1,5561,60
Alfa Romeo,Giulia,2016 -> 2019,2.0 TB - 200hp,2.0 TB,200,310,110,330,460,130,"['Specific DTC Disable', 'Pops & Bangs', 'Start/Stop Disable', 'Decat', 'Flaps', 'Speed Limiter Disable']","['Bosch MED17', 'Marelli M10JA']","['Alientech K-TAG', 'Alientech KESSv2', 'Autotuner', 'CMDFlash', 'MagicMotorsport Flex', 'Dimsport New Genius', 'Dimsport New Trasdata']",Stage 1,5562,8379
Alfa Romeo,Giulia,2016 -> 2019,2.0 TB - Q4 Veloce - 280hp,2.0 TB - Q4 Veloce,280,310,30,400,460,60,"['Specific DTC Disable', 'Pops & Bangs', 'Start/Stop Disable', 'Decat', 'Swirl Flaps', 'Speed Limiter Disable']","['Bosch MED17', 'Marelli M10JA']","['Alientech KESS3', 'Alientech KESSv2', 'Autotuner', 'CMDFlash', 'MagicMotorsport Flex', 'Dimsport New Genius', 'Dimsport New Trasdata', 'bFlash']",Stage 1,5563,8380
Alfa Romeo,Giulia,2016 -> 2019,2.9 V6 GTA - 540hp,2.9 V6 GTA,540,545,5,600,710,110,,['Bosch MED17.6.9'],['MagicMotorsport Flex'],Stage 1,20593,12222
Alfa Romeo,Giulia,2016 -> 2019,2.9 V6 Turbo Quadrifoglio - 510hp,2.9 V6 Turbo Quadrifoglio,510,560,50,600,700,100,,['Bosch MED17.3.5'],"['Autotuner', 'CMDFlash', 'MagicMotorsport Flex', 'Dimsport New Trasdata']",Stage 1,5564,61
Alfa Romeo,Giulia,2016 -> 2019,2.2 JTD - 136hp,2.2 JTD,136,220,84,380,530,150,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Start/Stop Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC17C69'],"['Alientech KESS3', 'Autotuner', 'MagicMotorsport Flex']",Stage 1,5565,4911
Alfa Romeo,Giulia,2016 -> 2019,2.2 JTD - 150hp,2.2 JTD,150,220,70,380,530,150,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Start/Stop Disable', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch EDC17C69'],"['Autotuner', 'MagicMotorsport Flex', 'Dimsport New Trasdata']",Stage 1,5566,4912
Alfa Romeo,Giulia,2016 -> 2019,2.2 JTD - 160hp,2.2 JTD,160,220,60,450,530,80,,['Bosch EDC17C69'],"['Autotuner', 'Dimsport New Trasdata']",Stage 1,20591,12220
Alfa Romeo,Giulia,2016 -> 2019,2.2 JTD - 180hp,2.2 JTD,180,220,40,450,530,80,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Start/Stop Disable', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch EDC17C69'],"['Autotuner', 'CMDFlash', 'MagicMotorsport Flex', 'Dimsport New Trasdata']",Stage 1,5567,4913
Alfa Romeo,Giulia,2016 -> 2019,2.2 JTD - 190hp,2.2 JTD,190,220,30,450,530,80,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Start/Stop Disable', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch EDC17C69'],,Stage 1,20592,12221
Alfa Romeo,Giulia,2016 -> 2019,2.2 JTD - 210hp,2.2 JTD,210,230,20,470,550,80,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Start/Stop Disable', 'Swirl Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC17C69'],"['Autotuner', 'MagicMotorsport Flex', 'Dimsport New Trasdata']",Stage 1,5568,8381
Alfa Romeo,Giulia,2019 -> ...,2.0 TB (GPF) - 200hp,2.0 TB (GPF),200,300,100,330,450,120,,,,Stage 1,25527,17352
Alfa Romeo,Giulia,2019 -> ...,GTA / GTAm 2.9 V6 Turbo - 540hp,GTA / GTAm 2.9 V6 Turbo,540,560,20,600,720,120,,,,Stage 1,25530,17355
Alfa Romeo,Giulia,2019 -> ...,Q4 2.0 TB (GPF) - 280hp,Q4 2.0 TB (GPF),280,300,20,400,450,50,,,,Stage 1,25528,17353
Alfa Romeo,Giulia,2019 -> ...,Quadrifoglio 2.9 V6 Turbo - 510hp,Quadrifoglio 2.9 V6 Turbo,510,540,30,600,720,120,,,,Stage 1,25529,17354
Alfa Romeo,Giulia,2019 -> ...,2.2 JTD - 136hp,2.2 JTD,136,220,84,380,530,150,,,,Stage 1,25531,17356
Alfa Romeo,Giulia,2019 -> ...,2.2 JTD - 160hp,2.2 JTD,160,220,60,380,530,150,,,,Stage 1,25532,17357
Alfa Romeo,Giulia,2019 -> ...,2.2 JTD - 190hp,2.2 JTD,190,220,30,380,530,150,,,,Stage 1,25533,17358
Alfa Romeo,Giulia,2019 -> ...,2.2 JTD - 210hp,2.2 JTD,210,230,20,470,550,80,,,,Stage 1,25534,17359
Alfa Romeo,Giulietta,2010 -> 2016,1.4 T-jet - 120hp,1.4 T-jet,120,155,35,215,280,65,"['Decat', 'Specific DTC Disable', 'Flaps', 'Pops & Bangs', 'Speed Limiter Disable']",['Bosch ME7.9.10'],['ByteShooter Toolbox'],Stage 1,5577,8389
Alfa Romeo,Giulietta,2010 -> 2016,1.4T Multiair - 105hp,1.4T Multiair,105,150,45,206,280,74,"['Decat', 'Specific DTC Disable', 'Flaps', 'Pops & Bangs', 'Speed Limiter Disable']",['Bosch ME7.9.10'],"['Alientech KESS3', 'Alientech KESSv2', 'ByteShooter Toolbox', 'CMD CMDFlash']",Stage 1,5576,62
Alfa Romeo,Giulietta,2010 -> 2016,1.4T Multiair - 120hp,1.4T Multiair,120,150,30,206,300,94,"['Decat', 'Specific DTC Disable', 'Flaps', 'Pops & Bangs', 'Speed Limiter Disable']","['Bosch ME7.9.10', 'Bosch ME17.3.0']","['Alientech KESSv2', 'Autotuner Autotuner', 'ByteShooter Toolbox', 'CMD CMDFlash', 'MagicMotorsport Flex', 'Dimsport New Genius', 'Dimsport New Trasdata']",Stage 1,5578,63
Alfa Romeo,Giulietta,2010 -> 2016,1.4T Multiair - 150hp,1.4T Multiair,150,185,35,250,290,40,"['Decat', 'Specific DTC Disable', 'Flaps', 'Pops & Bangs', 'Speed Limiter Disable']","['Marelli MM8GMF', 'Marelli 8GMK']","['Alientech KESSv2', 'CMD CMDFlash']",Stage 1,5579,64
Alfa Romeo,Giulietta,2010 -> 2016,1.4T Multiair - 170hp,1.4T Multiair,170,185,15,250,290,40,"['Decat', 'Specific DTC Disable', 'Flaps', 'Pops & Bangs', 'Speed Limiter Disable']",['Marelli MM8GMF'],"['Alientech KESS3', 'Alientech KESSv2', 'Autotuner Autotuner', 'ByteShooter Toolbox', 'CMD CMDFlash', 'MagicMotorsport Flex', 'I/O Terminal I/O Terminal', 'Dimsport New Genius']",Stage 1,5581,66
Alfa Romeo,Giulietta,2010 -> 2016,1750 TBi - 235hp,1750 TBi,235,255,20,340,400,60,,,,Stage 1,5582,67
Alfa Romeo,Giulietta,2010 -> 2016,1750 TBi QV - 240hp,1750 TBi QV,240,255,15,340,400,60,"['Decat', 'Specific DTC Disable', 'Start/Stop Disable', 'Flaps', 'Pops & Bangs', 'Speed Limiter Disable']",['Bosch MED17.3.1'],"['Alientech KESS3', 'Alientech KESSv2', 'Autotuner Autotuner', 'ByteShooter Toolbox', 'CMD CMDFlash', 'MagicMotorsport Flex', 'Dimsport New Genius']",Stage 1,5583,68
Alfa Romeo,Giulietta,2010 -> 2016,1.6 Jtdm - 105hp,1.6 Jtdm,105,130,25,320,360,40,"['Adblue', 'EGR Disable', 'Specific DTC Disable', 'Flaps', 'DPF Disable', 'Speed Limiter Disable']",['Bosch EDC16C39'],"['Alientech K-TAG', 'Alientech KESS3', 'Alientech KESSv2', 'Autotuner Autotuner', 'ByteShooter Toolbox', 'CMD CMDFlash', 'MagicMotorsport Flex', 'Dimsport New Genius', 'Dimsport New Trasdata', 'bFlash bFlash']",Stage 1,5584,69
Alfa Romeo,Giulietta,2010 -> 2016,2.0 Jtdm - 136hp,2.0 Jtdm,136,180,44,350,420,70,,,,Stage 1,5585,70
Alfa Romeo,Giulietta,2010 -> 2016,2.0 Jtdm - 140hp,2.0 Jtdm,140,180,40,320,420,100,"['Adblue', 'EGR Disable', 'Specific DTC Disable', 'Flaps', 'DPF Disable', 'Speed Limiter Disable']",['Bosch EDC16C39'],"['Alientech KESSv2', 'Autotuner Autotuner', 'CMD CMDFlash', 'MagicMotorsport Flex']",Stage 1,5586,71
Alfa Romeo,Giulietta,2010 -> 2016,2.0 Jtdm - 150hp,2.0 Jtdm,150,180,30,380,440,60,,,,Stage 1,5587,72
Alfa Romeo,Giulietta,2010 -> 2016,2.0 Jtdm - 163hp,2.0 Jtdm,163,200,37,360,425,65,,,,Stage 1,5588,73
Alfa Romeo,Giulietta,2010 -> 2016,2.0 Jtdm - 170hp,2.0 Jtdm,170,200,30,350,425,75,"['Adblue', 'EGR Disable', 'Specific DTC Disable', 'Start/Stop Disable', 'Flaps', 'DPF Disable', 'Speed Limiter Disable']",['Bosch EDC16C39'],"['Alientech K-TAG', 'Alientech KESS3', 'Alientech KESSv2', 'Autotuner Autotuner', 'ByteShooter Toolbox', 'CMD CMDFlash', 'MagicMotorsport Flex', 'Dimsport New Genius']",Stage 1,5589,74
Alfa Romeo,Giulietta,2010 -> 2016,2.0 Jtdm - 175hp,2.0 Jtdm,175,205,30,350,425,75,,,,Stage 1,5590,75
Alfa Romeo,Giulietta,2016 -> 2019,1.4 Multiair - 150hp,1.4 Multiair,150,185,35,250,290,40,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']","['Marelli MM8GMF', 'Bosch ME17.3.0']","['Alientech KESSv2', 'CMDFlash']",Stage 1,5592,4854
Alfa Romeo,Giulietta,2016 -> 2019,1.4 Multiair - 170hp,1.4 Multiair,170,185,15,250,290,40,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']","['Marelli MM8GMF', 'Marelli MM8GMK']","['Alientech KESSv2', 'CMDFlash']",Stage 1,5593,4855
Alfa Romeo,Giulietta,2016 -> 2019,1.4 T-Jet - 120hp,1.4 T-Jet,120,155,35,201,280,79,"['Specific DTC Disable', 'Pops & Bangs', 'Start/Stop Disable', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch ME17.3.0'],"['Alientech KESS3', 'Autotuner', 'CMDFlash', 'MagicMotorsport Flex', 'Dimsport New Trasdata']",Stage 1,5591,4853
Alfa Romeo,Giulietta,2016 -> 2019,1750 TBi - 240hp,1750 TBi,240,255,15,340,400,60,"['Specific DTC Disable', 'Pops & Bangs', 'Start/Stop Disable', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch MED17.3.3'],"['Alientech KESSv2', 'Autotuner', 'MagicMotorsport Flex', 'Dimsport New Trasdata']",Stage 1,5594,4856
Alfa Romeo,Giulietta,2016 -> 2019,1.6 JTDM - 120hp,1.6 JTDM,120,145,25,320,380,60,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Start/Stop Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC17C69'],"['Autotuner', 'CMDFlash', 'MagicMotorsport Flex', 'Dimsport New Trasdata']",Stage 1,5595,4857
Alfa Romeo,Giulietta,2016 -> 2019,2.0 JTDM - 150hp,2.0 JTDM,150,180,30,380,440,60,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Start/Stop Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']","['Bosch EDC17C49', 'Bosch EDC17C69']","['Autotuner', 'MagicMotorsport Flex']",Stage 1,5596,4858
Alfa Romeo,Giulietta,2016 -> 2019,2.0 JTDM - 175hp,2.0 JTDM,175,205,30,350,420,70,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Start/Stop Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC17C69'],,Stage 1,5597,4859
Alfa Romeo,Giulietta,2019 -> ...,1.4 T - 120hp,1.4 T,120,155,35,215,280,65,"['Specific DTC Disable', 'Pops & Bangs', 'Start/Stop Disable', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch ME17.3.0'],"['Alientech KESS3', 'Autotuner', 'CMDFlash', 'MagicMotorsport Flex', 'Dimsport New Trasdata']",Stage 1,19512,11121
Alfa Romeo,Giulietta,2019 -> ...,1.6 JTD - 120hp,1.6 JTD,120,145,25,320,380,60,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Start/Stop Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC17C69'],"['Autotuner', 'CMDFlash', 'MagicMotorsport Flex', 'Dimsport New Trasdata']",Stage 1,19513,11122
Alfa Romeo,Giulietta,2019 -> ...,2.0 JTD - 170hp,2.0 JTD,170,200,30,350,420,70,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Start/Stop Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC17C69'],,Stage 1,19514,11123
